,Date,Confirmed_Cases,Death_Cases
0,2020-01-22,557,17
1,2020-01-23,657,18
2,2020-01-24,944,26
3,2020-01-25,1437,42
4,2020-01-26,2120,56
5,2020-01-27,2929,82
6,2020-01-28,5580,131
7,2020-01-29,6169,133
8,2020-01-30,8237,172
9,2020-01-31,9927,214
10,2020-02-01,12038,260
11,2020-02-02,16787,364
12,2020-02-03,19887,428
13,2020-02-04,23899,494
14,2020-02-05,27644,566
15,2020-02-06,30806,636
16,2020-02-07,34400,721
17,2020-02-08,37131,808
18,2020-02-09,40162,908
19,2020-02-10,42771,1015
20,2020-02-11,44814,1115
21,2020-02-12,45232,1120
22,2020-02-13,60384,1373
23,2020-02-14,66912,1525
24,2020-02-15,69055,1668
25,2020-02-16,71238,1772
26,2020-02-17,73273,1870
27,2020-02-18,75155,2010
28,2020-02-19,75655,2125
29,2020-02-20,76216,2250
30,2020-02-21,76846,2254
31,2020-02-22,78608,2462
32,2020-02-23,78990,2473
33,2020-02-24,79558,2633
34,2020-02-25,80412,2713
35,2020-02-26,81384,2774
36,2020-02-27,82728,2817
37,2020-02-28,84152,2876
38,2020-02-29,86023,2946
39,2020-03-01,88402,3000
40,2020-03-02,90382,3090
41,2020-03-03,92994,3164
42,2020-03-04,95338,3260
43,2020-03-05,98078,3355
44,2020-03-06,102062,3469
45,2020-03-07,106199,3573
46,2020-03-08,109997,3815
47,2020-03-09,114292,4009
48,2020-03-10,119051,4284
49,2020-03-11,126527,4636
50,2020-03-12,133283,4957
51,2020-03-13,146477,5460
52,2020-03-14,157365,5886
53,2020-03-15,168598,6557
54,2020-03-16,183165,7268
55,2020-03-17,198339,8119
56,2020-03-18,215900,9075
57,2020-03-19,242987,10217
58,2020-03-20,272517,11791
59,2020-03-21,304944,13599
60,2020-03-22,339156,15427
61,2020-03-23,381711,17523
62,2020-03-24,423594,19949
63,2020-03-25,475075,22920
64,2020-03-26,535889,26173
65,2020-03-27,599820,29812
66,2020-03-28,669402,33861
67,2020-03-29,725918,37680
68,2020-03-30,790929,42050
69,2020-03-31,869371,47218
70,2020-04-01,955728,53862
71,2020-04-02,1038176,60115
72,2020-04-03,1122386,66617
73,2020-04-04,1182507,72976
74,2020-04-05,1254222,78897
75,2020-04-06,1328948,85324
76,2020-04-07,1397886,93841
77,2020-04-08,1480062,101061
78,2020-04-09,1567243,109216
79,2020-04-10,1653665,116957
80,2020-04-11,1729180,123939
81,2020-04-12,1847761,130453
82,2020-04-13,1919593,136966
83,2020-04-14,2004226,144323
84,2020-04-15,2082482,153088
