,Date,SK_Confirmed_Cases,SK_Death_Cases
0,3/13/20,2,0
1,3/14/20,2,0
2,3/15/20,2,0
3,3/16/20,7,0
4,3/17/20,7,0
5,3/18/20,8,0
6,3/19/20,16,0
7,3/20/20,20,0
8,3/21/20,26,0
9,3/22/20,52,0
10,3/23/20,66,0
11,3/24/20,72,0
12,3/25/20,86,0
13,3/26/20,95,0
14,3/27/20,104,0
15,3/28/20,134,0
16,3/29/20,134,0
17,3/30/20,175,2
18,3/31/20,184,2
19,4/1/20,193,3
20,4/2/20,206,3
21,4/3/20,220,3
22,4/4/20,231,3
23,4/5/20,249,3
24,4/6/20,253,3
25,4/7/20,260,3
26,4/8/20,271,3
27,4/9/20,278,3
28,4/10/20,285,3
29,4/11/20,289,4
30,4/12/20,298,4
31,4/13/20,300,4
32,4/14/20,301,4
33,4/15/20,304,4
34,4/16/20,305,4
35,4/17/20,307,4
36,4/18/20,313,4
37,4/19/20,315,4
38,4/20/20,316,4
39,4/21/20,320,4
40,4/22/20,326,4
41,4/23/20,331,4
42,4/24/20,341,4
43,4/25/20,349,4
44,4/26/20,353,4
45,4/27/20,365,5
46,4/28/20,366,5
47,4/29/20,383,6
48,4/30/20,389,6
49,5/1/20,415,6
50,5/2/20,421,6
51,5/3/20,433,6
52,5/4/20,467,6
53,5/5/20,487,6
54,5/6/20,512,6
55,5/7/20,531,6
56,5/8/20,544,6
57,5/9/20,553,6
58,5/10/20,564,6
59,5/11/20,568,6
60,5/12/20,573,6
61,5/13/20,577,6
62,5/14/20,582,6
63,5/15/20,590,6
64,5/16/20,591,6
65,5/17/20,592,6
66,5/18/20,592,6
67,5/19/20,599,6
68,5/20/20,620,6
69,5/21/20,622,7
70,5/22/20,627,7
71,5/23/20,630,7
72,5/24/20,632,7
73,5/25/20,634,7
74,5/26/20,634,8
75,5/27/20,637,10
76,5/28/20,639,10
77,5/29/20,641,10
78,5/30/20,645,10
79,5/31/20,646,11
80,6/1/20,646,11
81,6/2/20,646,11
82,6/3/20,647,11
83,6/4/20,648,11
84,6/5/20,649,11
85,6/6/20,650,11
86,6/7/20,650,11
87,6/8/20,654,13
88,6/9/20,656,13
89,6/10/20,658,13
90,6/11/20,660,13
91,6/12/20,663,13
92,6/13/20,664,13
93,6/14/20,665,13
94,6/15/20,683,13
95,6/16/20,684,13
96,6/17/20,693,13
97,6/18/20,708,13
98,6/19/20,716,13
99,6/20/20,726,13
100,6/21/20,746,13
101,6/22/20,751,13
102,6/23/20,753,13
103,6/24/20,757,13
104,6/25/20,759,13
105,6/26/20,772,13
106,6/27/20,777,13
107,6/28/20,778,13
108,6/29/20,779,13
109,6/30/20,785,13
110,7/1/20,785,13
111,7/2/20,795,14
