,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
0,2023-03-09,120.6,117.19,117.3
1,2023-03-08,122.5799,120.845,122.18
2,2023-03-07,124.08,119.74,120.61
3,2023-03-06,125.31,123.515,123.85
4,2023-03-03,124.43,122.7267,124.08
5,2023-03-02,123.01,120.19,122.85
6,2023-03-01,122.14,119.35,121.25
7,2023-02-28,124.08,122.01,122.09
8,2023-02-27,124.14,121.99,122.51
9,2023-02-24,122.53,120.29,121.83
10,2023-02-23,123.09,120.97,122.3
11,2023-02-22,122.075,120.38,121.1
12,2023-02-21,122.86,120.06,120.62
13,2023-02-17,124.48,122.39,123.66
14,2023-02-16,125.46,123.3731,124.35
15,2023-02-15,125.55,123.56,125.52
16,2023-02-14,127.03,124.49,125.41
17,2023-02-13,125.85,124.17,125.78
18,2023-02-10,124.65,122.5,124.35
19,2023-02-09,125.79,124.02,124.41
20,2023-02-08,125.65,123.34,124.24
21,2023-02-07,127.85,123.21,125.9
22,2023-02-06,129.55,127.78,128.64
23,2023-02-03,130.285,128.2,129.81
24,2023-02-02,133.08,129.51,131.79
25,2023-02-01,129.95,126.88,128.93
26,2023-01-31,128.71,125.67,128.46
27,2023-01-30,128.85,125.89,125.95
28,2023-01-27,128.88,126.15,128.61
29,2023-01-26,126.41,124.88,126.33
30,2023-01-25,125.5446,124.5,125.19
31,2023-01-24,125.645,123.2,125.45
32,2023-01-23,125.29,123.2783,124.97
33,2023-01-20,123.85,120.41,123.65
34,2023-01-19,121.71,120.035,120.93
35,2023-01-18,125.8649,121.94,122.25
36,2023-01-17,125.62,124.46,125.02
37,2023-01-13,126.12,124.17,125.57
38,2023-01-12,126.43,121.45,125.99
39,2023-01-11,121.63,117.15,121.36
40,2023-01-10,117.78,115.44,116.85
41,2023-01-09,119.6,117.61,118.32
42,2023-01-06,119.53,117.78,118.87
43,2023-01-05,119.755,117.17,117.42
44,2023-01-04,122.31,118.01,121.16
45,2023-01-03,119.18,116.22,117.54
46,2022-12-30,117.86,115.72,117.48
47,2022-12-29,117.66,115.33,117.32
48,2022-12-28,118.89,114.83,115.06
49,2022-12-27,118.53,117.135,118.1
50,2022-12-23,117.95,115.65,117.91
51,2022-12-22,116.44,114.0461,116.36
52,2022-12-21,118.1,116.27,116.55
53,2022-12-20,116.01,113.8,115.66
54,2022-12-19,116.83,114.185,115.62
55,2022-12-16,116.92,114.85,116.32
56,2022-12-15,118.81,116.83,118.21
57,2022-12-14,121.805,118.98,119.71
58,2022-12-13,121.95,118.67,120.24
59,2022-12-12,118.725,115.545,118.62
60,2022-12-09,117.56,116.1,116.75
61,2022-12-08,118.65,116.55,117.12
62,2022-12-07,120.35,117.2601,119.05
63,2022-12-06,119.05,116.71,118.26
64,2022-12-05,119.36,117.38,117.69
65,2022-12-02,120.03,117.5,119.34
66,2022-12-01,120.8,117.75,119.01
67,2022-11-30,119.69,116.425,119.44
68,2022-11-29,117.67,115.53,117.46
69,2022-11-28,120.1097,115.5,115.76
70,2022-11-25,120.7,119.71,120.7
71,2022-11-23,120.18,118.385,119.61
72,2022-11-22,119.655,117.47,119.38
73,2022-11-21,118.14,116.055,117.18
74,2022-11-18,118.48,116.75,117.9
75,2022-11-17,115.87,113.46,115.79
76,2022-11-16,119.06,115.5233,115.59
77,2022-11-15,120.93,118.46,120.16
78,2022-11-14,119.57,117.51,117.53
79,2022-11-11,121.98,119.93,120.2
80,2022-11-10,121.285,117.475,120.04
81,2022-11-09,116.06,112.56,112.92
82,2022-11-08,117.47,114.635,115.42
83,2022-11-07,117.15,114.765,116.87
84,2022-11-04,115.81,112.62,115.57
85,2022-11-03,113.4,108.81,112.58
86,2022-11-02,115.35,111.48,111.61
87,2022-11-01,114.52,109.46,113.84
88,2022-10-31,109.56,107.37,108.98
89,2022-10-28,109.11,105.5629,108.96
90,2022-10-27,107.72,106.19,106.39
91,2022-10-26,106.7,105.12,105.53
92,2022-10-25,106.27,102.55,105.84
93,2022-10-24,102.86,100.03,102.39
94,2022-10-21,101.07,97.28,101.04
95,2022-10-20,100.94,98.2,98.31
96,2022-10-19,99.65,97.25,98.03
97,2022-10-18,101.07,97.33,98.66
98,2022-10-17,99.93,97.6,99.15
99,2022-10-14,97.99,95.14,95.86
100,2022-10-13,96.63,90.77,95.83
101,2022-10-12,94.75,92.7899,93.68
102,2022-10-11,95.94,91.33,94.82
103,2022-10-10,94.01,92.09,92.53
104,2022-10-07,94.31,92.03,92.54
105,2022-10-06,96.35,94.16,94.68
106,2022-10-05,96.18,91.83,95.77
107,2022-10-04,95.93,92.33,95.87
108,2022-10-03,91.91,89.105,90.98
109,2022-09-30,90.51,88.41,89.75
110,2022-09-29,91.42,88.46,89.13
111,2022-09-28,92.97,89.4,92.53
112,2022-09-27,89.95,87.94,89.03
113,2022-09-26,89.48,86.02,87.36
114,2022-09-23,91.0,88.54,90.18
115,2022-09-22,95.79,91.74,92.18
116,2022-09-21,100.0274,95.61,95.65
117,2022-09-20,99.81,97.89,98.32
118,2022-09-19,100.28,98.0,100.28
119,2022-09-16,99.8,97.6148,99.7
120,2022-09-15,101.22,99.4,99.54
121,2022-09-14,100.2,98.335,100.03
122,2022-09-13,103.1,100.04,100.41
123,2022-09-12,105.82,103.84,105.25
124,2022-09-09,104.095,102.6,103.77
125,2022-09-08,102.59,99.75,102.54
126,2022-09-07,103.49,100.91,103.46
127,2022-09-06,101.76,98.82,101.04
128,2022-09-02,103.76,100.17,100.53
129,2022-09-01,101.425,98.75,101.33
130,2022-08-31,104.73,101.77,101.98
131,2022-08-30,105.05,103.085,103.79
132,2022-08-29,105.1,102.95,103.65
133,2022-08-26,108.55,104.84,104.85
134,2022-08-25,108.27,106.89,108.24
135,2022-08-24,107.69,105.92,106.68
136,2022-08-23,108.345,106.73,106.84
137,2022-08-22,110.0,105.94,106.74
138,2022-08-19,112.855,110.26,111.01
139,2022-08-18,113.48,112.28,113.33
140,2022-08-17,113.622,111.78,112.84
141,2022-08-16,115.32,112.62,114.52
