,Date,Confirmed_Cases,Death_Cases,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
0,2020-01-22,557,17,60.72,59.56,59.64,149.65,145.94,146.01
1,2020-01-23,657,18,60.38,58.19,60.27,147.31,144.42,147.25
2,2020-01-24,944,26,60.21,57.84,58.81,147.8,144.64,144.82
3,2020-01-25,1437,42,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-26,2120,56,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-27,2929,82,57.18,55.62,56.83,143.91,141.63,141.63
6,2020-01-28,5580,131,57.97,56.75,57.48,142.37,139.95,139.99
7,2020-01-29,6169,133,57.8,56.57,56.65,141.37,139.81,140.03
8,2020-01-30,8237,172,57.18,55.65,57.1,139.94,136.1,136.45
9,2020-01-31,9927,214,57.08,55.43,55.74,136.22,132.86,133.15
10,2020-02-01,12038,260,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-02,16787,364,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-03,19887,428,57.25,56.0,56.04,135.8,132.53,132.8
13,2020-02-04,23899,494,58.4,57.15,57.93,139.24,130.01,137.29
14,2020-02-05,27644,566,59.2993,58.5998,58.89,140.63,137.25,140.47
15,2020-02-06,30806,636,60.03,58.02,58.18,142.64,140.02,140.86
16,2020-02-07,34400,721,58.25,57.52,57.92,141.04,139.29,141.02
17,2020-02-08,37131,808,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-09,40162,908,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-10,42771,1015,58.12,57.43,57.71,143.1,139.83,143.06
20,2020-02-11,44814,1115,59.1,57.97,58.66,144.3,139.87,142.08
21,2020-02-12,45232,1120,59.92,59.18,59.47,142.48,137.98,139.17
22,2020-02-13,60384,1373,59.21,58.35,59.13,140.04,136.51,138.66
23,2020-02-14,66912,1525,59.47,58.58,58.9,139.27,137.87,138.92
24,2020-02-15,69055,1668,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-02-16,71238,1772,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-02-17,73273,1870,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-02-18,75155,2010,59.47,58.41,58.72,139.58,137.85,139.17
28,2020-02-19,75655,2125,58.58,58.03,58.51,138.87,135.42,137.01
29,2020-02-20,76216,2250,58.99,58.12,58.38,140.54,136.65,140.53
30,2020-02-21,76846,2254,58.02,56.87,57.87,142.77,139.85,142.25
31,2020-02-22,78608,2462,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-02-23,78990,2473,0.0,0.0,0.0,0.0,0.0,0.0
33,2020-02-24,79558,2633,55.38,53.34,54.23,141.05,139.37,140.78
34,2020-02-25,80412,2713,54.71,50.75,50.89,141.04,134.81,135.28
35,2020-02-26,81384,2774,51.77,49.0,49.59,137.37,132.2,132.23
36,2020-02-27,82728,2817,50.98,45.03,48.19,132.54,125.02,125.8
37,2020-02-28,84152,2876,47.79,45.14,46.13,125.89,119.91,123.08
38,2020-02-29,86023,2946,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-03-01,88402,3000,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-03-02,90382,3090,47.25,44.33,47.16,127.33,120.35,127.22
41,2020-03-03,92994,3164,49.97,46.04,46.18,130.3,121.14,122.47
42,2020-03-04,95338,3260,48.64,46.02,48.5,124.44,120.09,123.49
43,2020-03-05,98078,3355,46.57,44.42,45.01,121.43,117.6,119.9
44,2020-03-06,102062,3469,46.93,42.87,45.89,119.69,115.05,119.06
45,2020-03-07,106199,3573,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-03-08,109997,3815,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-03-09,114292,4009,45.01,42.43,43.52,112.53,103.0,103.04
48,2020-03-10,119051,4284,45.88,41.46,45.47,112.49,102.78,111.44
49,2020-03-11,126527,4636,44.34,41.73,42.67,109.55,100.0,101.5
50,2020-03-12,133283,4957,38.78,33.46,33.71,95.74,82.76,83.49
51,2020-03-13,146477,5460,38.74,34.79,38.36,91.27,81.6,89.77
52,2020-03-14,157365,5886,0.0,0.0,0.0,0.0,0.0,0.0
53,2020-03-15,168598,6557,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-03-16,183165,7268,38.08,31.23,35.81,78.89,65.32,65.79
55,2020-03-17,198339,8119,37.19,30.6,31.74,67.47,53.96,58.86
56,2020-03-18,215900,9075,29.79,19.1,23.49,55.54,43.52,44.92
57,2020-03-19,242987,10217,24.15,20.0,21.51,59.5,45.5,55.74
58,2020-03-20,272517,11791,26.85,21.26,21.35,63.41,46.16,48.14
59,2020-03-21,304944,13599,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-03-22,339156,15427,0.0,0.0,0.0,0.0,0.0,0.0
61,2020-03-23,381711,17523,22.83,20.6,22.22,52.12,46.05,50.16
62,2020-03-24,423594,19949,28.98,24.52,26.89,57.18,52.56,54.73
