,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
0,2023-03-09,40.3,38.32,38.49
1,2023-03-08,39.74,39.17,39.73
2,2023-03-07,39.77,38.7,39.07
3,2023-03-06,39.265,38.36,38.46
4,2023-03-03,39.24,38.58,38.85
5,2023-03-02,38.55,37.85,38.42
6,2023-03-01,38.67,38.01,38.51
7,2023-02-28,38.73,37.64,38.34
8,2023-02-27,38.21,37.56,37.84
9,2023-02-24,37.4,36.66,37.36
10,2023-02-23,38.14,37.16,37.53
11,2023-02-22,37.46,36.84,37.01
12,2023-02-21,38.09,36.82,37.1
13,2023-02-17,38.43,37.6748,38.36
14,2023-02-16,38.79,38.22,38.28
15,2023-02-15,39.2599,38.61,39.02
16,2023-02-14,39.25,38.25,39.1
17,2023-02-13,38.735,37.98,38.6
18,2023-02-10,38.54,37.8201,38.17
19,2023-02-09,39.97,38.88,39.01
20,2023-02-08,40.308,39.16,39.44
21,2023-02-07,39.77,38.67,39.59
22,2023-02-06,39.84,39.08,39.64
23,2023-02-03,40.01,39.29,39.58
24,2023-02-02,40.34,39.51,39.9
25,2023-02-01,40.075,38.5997,39.89
26,2023-01-31,39.11,38.365,39.1
27,2023-01-30,39.39,38.26,38.4
28,2023-01-27,39.215,38.7,38.73
29,2023-01-26,39.51,38.62,39.22
30,2023-01-25,39.5,38.62,39.38
31,2023-01-24,39.46,38.45,38.8
32,2023-01-23,39.305,38.7305,39.08
33,2023-01-20,39.2,38.34,39.03
34,2023-01-19,38.44,37.03,38.35
35,2023-01-18,39.32,38.31,38.38
36,2023-01-17,38.36,37.555,38.26
37,2023-01-13,38.29,36.52,38.2
38,2023-01-12,39.62,38.32,39.6
39,2023-01-11,38.7,37.82,38.18
40,2023-01-10,38.165,36.66,38.09
41,2023-01-09,37.425,36.35,36.77
42,2023-01-06,36.07,35.1,36.03
43,2023-01-05,35.565,34.52,35.23
44,2023-01-04,34.47,32.935,34.39
45,2023-01-03,33.55,32.335,32.61
46,2022-12-30,33.05,32.35,32.86
47,2022-12-29,32.76,31.82,32.73
48,2022-12-28,33.02,31.92,31.99
49,2022-12-27,33.33,32.59,32.9
50,2022-12-23,33.17,32.37,33.16
51,2022-12-22,33.63,32.29,32.92
52,2022-12-21,33.99,33.2,33.67
53,2022-12-20,33.28,32.75,32.9
54,2022-12-19,33.6876,32.845,32.92
55,2022-12-16,33.735,32.615,33.11
56,2022-12-15,34.06,32.83,33.25
57,2022-12-14,34.78,33.725,34.31
58,2022-12-13,35.72,32.81,33.38
